loanamount,totaldue,interest,termyears,rateofinterest,referredbysomeone,prevloan_loannumber_count,prevloan_loannumber_mean,prevloan_loannumber_max,prevloan_loannumber_min,prevloan_loannumber_sum,prevloan_loanamount_count,prevloan_loanamount_mean,prevloan_loanamount_max,prevloan_loanamount_min,prevloan_loanamount_sum,prevloan_totaldue_count,prevloan_totaldue_mean,prevloan_totaldue_max,prevloan_totaldue_min,prevloan_totaldue_sum,prevloan_interest_count,prevloan_interest_mean,prevloan_interest_max,prevloan_interest_min,prevloan_interest_sum,prevloan_termyears_count,prevloan_termyears_mean,prevloan_termyears_max,prevloan_termyears_min,prevloan_termyears_sum,prevloan_rateofinterest_count,prevloan_rateofinterest_mean,prevloan_rateofinterest_max,prevloan_rateofinterest_min,prevloan_rateofinterest_sum,prevloan_referredbysomeone_count,prevloan_referredbysomeone_sum,prevloan_diff_due_and_repay_count,prevloan_diff_due_and_repay_mean,prevloan_diff_due_and_repay_max,prevloan_diff_due_and_repay_min,prevloan_diff_due_and_repay_sum,prevloan_diff_closed_and_due_count,prevloan_diff_closed_and_due_mean,prevloan_diff_closed_and_due_max,prevloan_diff_closed_and_due_min,prevloan_diff_closed_and_due_sum,prevloan_due_dayofweek_count,prevloan_due_dayofweek_mean,prevloan_due_dayofweek_max,prevloan_due_dayofweek_min,prevloan_due_dayofweek_sum,prevloan_due_month_count,prevloan_due_month_mean,prevloan_due_month_max,prevloan_due_month_min,prevloan_due_month_sum,prevloan_repaid_dayofweek_count,prevloan_repaid_dayofweek_mean,prevloan_repaid_dayofweek_max,prevloan_repaid_dayofweek_min,prevloan_repaid_dayofweek_sum,prevloan_repaid_month_count,prevloan_repaid_month_mean,prevloan_repaid_month_max,prevloan_repaid_month_min,prevloan_repaid_month_sum,prevloan_is_month_start_repaid_count,prevloan_is_month_start_repaid_mean,prevloan_is_month_start_repaid_sum,prevloan_is_month_end_repaid_count,prevloan_is_month_end_repaid_mean,prevloan_is_month_end_repaid_sum,prevloan_is_month_start_duedate_count,prevloan_is_month_start_duedate_mean,prevloan_is_month_start_duedate_sum,prevloan_is_month_end_duedate_count,prevloan_is_month_end_duedate_mean,prevloan_is_month_end_duedate_sum,longitude_gps,latitude_gps,customers_age,prevloan_referredbysomeone_mean_False,prevloan_referredbysomeone_mean_True,prevloan_referredbysomeone_max_False,prevloan_referredbysomeone_max_True,prevloan_referredbysomeone_min_False,prevloan_referredbysomeone_min_True,prevloan_is_month_start_repaid_max_False,prevloan_is_month_start_repaid_max_True,prevloan_is_month_start_repaid_min_False,prevloan_is_month_start_repaid_min_True,prevloan_is_month_end_repaid_max_False,prevloan_is_month_end_repaid_max_True,prevloan_is_month_end_repaid_min_False,prevloan_is_month_end_repaid_min_True,prevloan_is_month_start_duedate_max_False,prevloan_is_month_start_duedate_max_True,prevloan_is_month_start_duedate_min_False,prevloan_is_month_start_duedate_min_True,prevloan_is_month_end_duedate_max_False,prevloan_is_month_end_duedate_max_True,prevloan_is_month_end_duedate_min_False,prevloan_is_month_end_duedate_min_True,bank_account_type_Current,bank_account_type_Other,bank_account_type_Savings,bank_name_clients_Access Bank,bank_name_clients_Diamond Bank,bank_name_clients_EcoBank,bank_name_clients_FCMB,bank_name_clients_Fidelity Bank,bank_name_clients_First Bank,bank_name_clients_GT Bank,bank_name_clients_Heritage Bank,bank_name_clients_Skye Bank,bank_name_clients_Stanbic IBTC,bank_name_clients_Sterling Bank,bank_name_clients_UBA,bank_name_clients_Union Bank,bank_name_clients_Unity Bank,bank_name_clients_Wema Bank,bank_name_clients_Zenith Bank,employment_status_clients_Permanent,employment_status_clients_Retired,employment_status_clients_Self-Employed,employment_status_clients_Student,employment_status_clients_Unemployed,target
30000.0,34500.0,4500.0,0.0821917808219178,1.825,False,11.0,6.0,11.0,1.0,66.0,11.0,18181.81818181818,30000.0,10000.0,200000.0,11.0,22081.81818181818,34500.0,13000.0,242900.0,11.0,3900.0,4500.0,3000.0,42900.0,11.0,0.0821917808219178,0.0821917808219178,0.0821917808219178,0.9041095890410958,11.0,2.7872727272727276,3.6500000000000004,1.825,30.660000000000004,11.0,0.0,11.0,45390.181818181816,79427.0,0.0,499292.0,11.0,50988.72727272727,80336.0,29676.0,560876.0,11.0,1.6363636363636365,4.0,0.0,18.0,11.0,7.090909090909091,12.0,1.0,78.0,11.0,2.0,6.0,0.0,22.0,11.0,7.0,12.0,2.0,77.0,11.0,0.18181818181818182,2.0,11.0,0.09090909090909091,1.0,11.0,0.0,0.0,11.0,0.09090909090909091,1.0,3.4320101999999997,6.4330553,46.0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
15000.0,17250.0,2250.0,0.0821917808219178,1.825,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.885298,7.3207002999999995,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20000.0,22250.0,2250.0,0.0410958904109589,2.7375000000000003,False,6.0,3.5,6.0,1.0,21.0,6.0,10000.0,10000.0,10000.0,60000.0,6.0,11750.0,13000.0,11500.0,70500.0,6.0,1750.0,3000.0,1500.0,10500.0,6.0,0.04794520547945205,0.0821917808219178,0.0410958904109589,0.2876712328767123,6.0,3.65,3.6500000000000004,3.6500000000000004,21.9,6.0,0.0,6.0,29622.333333333332,61551.0,1036.0,177734.0,6.0,31003.0,62461.0,1946.0,186018.0,6.0,1.3333333333333333,4.0,0.0,8.0,6.0,2.6666666666666665,5.0,1.0,16.0,6.0,2.1666666666666665,4.0,0.0,13.0,6.0,4.5,12.0,1.0,27.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,11.1393496,10.2920413,34.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10000.0,11500.0,1500.0,0.0410958904109589,3.6500000000000004,False,2.0,1.5,2.0,1.0,3.0,2.0,10000.0,10000.0,10000.0,20000.0,2.0,12250.0,13000.0,11500.0,24500.0,2.0,2250.0,3000.0,1500.0,4500.0,2.0,0.06164383561643835,0.0821917808219178,0.0410958904109589,0.1232876712328767,2.0,3.6500000000000004,3.6500000000000004,3.6500000000000004,7.300000000000001,2.0,0.0,2.0,79365.5,82616.0,76115.0,158731.0,2.0,79974.0,83225.0,76723.0,159948.0,2.0,0.0,0.0,0.0,0.0,2.0,6.5,7.0,6.0,13.0,2.0,4.0,4.0,4.0,8.0,2.0,6.5,7.0,6.0,13.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.9857697999999995,7.491708099999999,41.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
40000.0,44000.0,4000.0,0.0821917808219178,1.2166666666666668,False,8.0,4.5,8.0,1.0,36.0,8.0,18750.0,30000.0,10000.0,150000.0,8.0,23550.0,39000.0,13000.0,188400.0,8.0,4800.0,9000.0,3000.0,38400.0,8.0,0.10273972602739725,0.1643835616438356,0.0821917808219178,0.821917808219178,8.0,2.6918750000000005,3.6500000000000004,1.825,21.535000000000004,8.0,0.0,8.0,60872.0,85625.0,30153.0,486976.0,8.0,61706.5,86235.0,31062.0,493652.0,8.0,1.25,4.0,0.0,10.0,8.0,5.75,12.0,1.0,46.0,8.0,3.375,6.0,0.0,27.0,8.0,5.75,12.0,1.0,46.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,7.4579127000000005,9.0765736,32.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30000.0,39000.0,9000.0,0.1643835616438356,1.825,False,7.0,4.0,7.0,1.0,28.0,7.0,14285.714285714286,20000.0,10000.0,100000.0,7.0,17828.571428571428,24500.0,13000.0,124800.0,7.0,3542.8571428571427,4500.0,3000.0,24800.0,7.0,0.0821917808219178,0.0821917808219178,0.0821917808219178,0.5753424657534246,7.0,3.1980952380952385,3.6500000000000004,2.311666666666667,22.38666666666667,7.0,0.0,7.0,38971.142857142855,66046.0,24512.0,272798.0,7.0,39795.857142857145,66956.0,25423.0,278571.0,7.0,1.4285714285714286,4.0,0.0,10.0,7.0,4.571428571428571,7.0,2.0,32.0,7.0,2.0,4.0,0.0,14.0,7.0,4.428571428571429,7.0,2.0,31.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10000.0,13000.0,3000.0,0.0821917808219178,3.6500000000000004,False,2.0,1.5,2.0,1.0,3.0,2.0,10000.0,10000.0,10000.0,20000.0,2.0,12250.0,13000.0,11500.0,24500.0,2.0,2250.0,3000.0,1500.0,4500.0,2.0,0.06164383561643835,0.0821917808219178,0.0410958904109589,0.1232876712328767,2.0,3.6500000000000004,3.6500000000000004,3.6500000000000004,7.300000000000001,2.0,0.0,2.0,38537.5,48113.0,28962.0,77075.0,2.0,39147.5,48723.0,29572.0,78295.0,2.0,3.0,3.0,3.0,6.0,2.0,6.5,7.0,6.0,13.0,2.0,0.5,1.0,0.0,1.0,2.0,6.5,7.0,6.0,13.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.2594445,6.557011200000001,29.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30000.0,34500.0,4500.0,0.0821917808219178,1.825,False,9.0,5.0,9.0,1.0,45.0,9.0,20000.0,30000.0,10000.0,180000.0,9.0,23000.0,34500.0,11500.0,207000.0,9.0,3000.0,4500.0,1500.0,27000.0,9.0,0.06392694063926939,0.0821917808219178,0.0410958904109589,0.5753424657534245,9.0,2.5910493827160495,3.6500000000000004,1.7844444444444445,23.319444444444446,9.0,0.0,9.0,52734.22222222222,83419.0,19149.0,474608.0,9.0,53577.0,84328.0,20060.0,482193.0,9.0,2.4444444444444446,4.0,0.0,22.0,9.0,4.888888888888889,12.0,1.0,44.0,9.0,2.2222222222222223,5.0,0.0,20.0,9.0,4.888888888888889,12.0,1.0,44.0,9.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,6.1780555999999995,5.4257995999999995,31.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10000.0,11500.0,1500.0,0.0410958904109589,3.6500000000000004,False,3.0,2.0,3.0,1.0,6.0,3.0,10000.0,10000.0,10000.0,30000.0,3.0,11500.0,11500.0,11500.0,34500.0,3.0,1500.0,1500.0,1500.0,4500.0,3.0,0.0410958904109589,0.0410958904109589,0.0410958904109589,0.1232876712328767,3.0,3.6500000000000004,3.6500000000000004,3.6500000000000004,10.950000000000001,3.0,0.0,3.0,50779.333333333336,63319.0,38833.0,152338.0,3.0,51388.0,63927.0,39441.0,154164.0,3.0,2.0,3.0,1.0,6.0,3.0,6.0,7.0,5.0,18.0,3.0,3.3333333333333335,5.0,2.0,10.0,3.0,6.333333333333333,7.0,6.0,19.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.3965242,6.627942900000001,31.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10000.0,11500.0,1500.0,0.0410958904109589,3.6500000000000004,False,1.0,1.0,1.0,1.0,1.0,1.0,10000.0,10000.0,10000.0,10000.0,1.0,11500.0,11500.0,11500.0,11500.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,0.0410958904109589,0.0410958904109589,0.0410958904109589,0.0410958904109589,1.0,3.6500000000000004,3.6500000000000004,3.6500000000000004,3.6500000000000004,1.0,0.0,1.0,50297.0,50297.0,50297.0,50297.0,1.0,50906.0,50906.0,50906.0,50906.0,1.0,3.0,3.0,3.0,3.0,1.0,7.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,7.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.2858723,6.5824438999999995,34.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
